City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Loreto,MX,2020-10-05 18:49:41,22.27,-101.97,69.53,23,0,15.84
261,Yumen,CN,2020-10-05 18:47:22,40.28,97.2,43.23,50,100,2.35
262,Popondetta,PG,2020-10-05 18:49:42,-8.75,148.25,72.99,94,100,1.7
263,Tazmalt,DZ,2020-10-05 18:49:42,36.39,4.4,69.8,73,40,4.7
264,Adrar,MR,2020-10-05 18:49:42,20.5,-10.07,89.06,42,100,2.1
265,Luau,AO,2020-10-05 18:49:42,-10.71,22.22,77.23,37,0,2.86
266,Mogadishu,SO,2020-10-05 18:47:25,2.04,45.34,79.29,86,0,12.93
267,Lagunas,PE,2020-10-05 18:49:42,-5.23,-75.68,93.11,43,32,2.89
268,Ouro Preto Do Oeste,BR,2020-10-05 18:49:42,-10.75,-62.22,101.98,25,48,5.59
269,Sepuka,TZ,2020-10-05 18:49:43,-4.75,34.53,68.81,24,0,7.52
270,Namatanai,PG,2020-10-05 18:48:05,-3.67,152.43,79.65,79,100,7.18
271,Sola,VU,2020-10-05 18:49:43,-13.88,167.55,78.8,88,40,15.26
272,Makinsk,KZ,2020-10-05 18:49:43,52.63,70.42,27.84,92,48,7.23
273,Banda Aceh,ID,2020-10-05 18:49:43,5.56,95.32,81.41,74,100,11.05
274,Manta,EC,2020-10-05 18:49:43,-0.95,-80.73,77.0,83,90,11.41
275,Tura,IN,2020-10-05 18:49:44,25.52,90.22,73.33,95,6,3.51
276,Zhigansk,RU,2020-10-05 18:49:44,66.77,123.37,39.51,93,100,16.22
277,Keetmanshoop,NA,2020-10-05 18:49:44,-26.58,18.13,73.9,25,100,18.54
278,Carnarvon,AU,2020-10-05 18:46:55,-24.87,113.63,51.8,37,0,8.05
279,Lufilufi,WS,2020-10-05 18:49:44,-13.87,-171.6,77.0,100,75,5.82
280,Saskylakh,RU,2020-10-05 18:49:44,71.92,114.08,20.39,94,100,1.92
281,Qazvin,IR,2020-10-05 18:49:44,36.28,50.0,57.7,62,4,12.53
282,Zhuhai,CN,2020-10-05 18:47:48,22.28,113.57,82.4,78,40,13.87
283,Grindavik,IS,2020-10-05 18:49:45,63.84,-22.43,41.0,86,75,8.05
284,Palauig,PH,2020-10-05 18:49:45,15.44,119.9,80.85,75,100,4.79
285,Mandali,IQ,2020-10-05 18:49:45,33.75,45.55,82.0,20,0,8.05
286,Zhangjiakou,CN,2020-10-05 18:49:45,40.81,114.88,41.74,57,0,1.9
287,Neftcala,AZ,2020-10-05 18:49:45,39.37,49.25,65.12,59,100,13.73
288,Barkly West,ZA,2020-10-05 18:49:45,-28.54,24.52,75.2,23,90,5.82
289,Balaipungut,ID,2020-10-05 18:49:46,1.05,101.28,77.0,83,40,1.9
290,Moree,AU,2020-10-05 18:49:46,-29.47,149.85,62.6,55,0,10.29
291,Werda,BW,2020-10-05 18:49:46,-25.27,23.28,70.52,52,100,11.32
292,Atikokan,CA,2020-10-05 18:45:30,48.76,-91.62,59.81,50,90,12.84
293,Kodiak,US,2020-10-05 18:49:46,57.79,-152.41,50.0,61,1,11.36
294,Seaforth,JM,2020-10-05 18:49:46,17.94,-76.46,80.01,94,75,21.92
295,Zhanjiang,CN,2020-10-05 18:49:46,21.28,110.34,75.96,90,67,9.98
296,Sechura,PE,2020-10-05 18:49:46,-5.56,-80.82,72.37,57,98,16.6
297,Rockland,US,2020-10-05 18:46:15,41.17,-74.05,69.01,52,76,0.94
298,Olinda,BR,2020-10-05 18:47:56,-8.01,-34.86,82.4,65,40,13.87
299,Humberto De Campos,BR,2020-10-05 18:49:47,-2.6,-43.46,87.48,54,89,11.12
300,Angouleme,FR,2020-10-05 18:49:47,45.65,0.15,57.0,87,75,8.05
301,Kargil,IN,2020-10-05 18:49:47,34.57,76.1,42.4,51,0,4.25
302,Verkhnyaya Inta,RU,2020-10-05 18:49:47,65.98,60.31,38.86,97,100,13.47
303,Ararat,AM,2020-10-05 18:49:47,39.83,44.7,57.2,82,40,2.24
304,Ferndale,US,2020-10-05 18:46:01,42.46,-83.13,59.0,50,40,5.82
305,Waconia,US,2020-10-05 18:48:34,44.85,-93.79,66.99,55,0,13.0
