City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Vao,NC,-22.67,167.48,69.87,83,3,15.95,clear sky
186,Moba,CN,33.23,105.02,44.1,100,100,1.43,overcast clouds
187,Tskaltubo,GE,42.33,42.6,64.4,45,0,36.91,clear sky
188,Ostrovnoy,RU,68.05,39.51,43.34,78,88,14.81,overcast clouds
189,Scarborough,GB,54.28,-0.4,54.0,88,85,7.76,overcast clouds
190,College,US,64.86,-147.8,34.0,86,90,1.36,overcast clouds
191,Ust-Omchug,RU,61.15,149.63,23.94,80,0,4.16,clear sky
192,East London,ZA,-33.02,27.91,62.6,93,39,5.82,scattered clouds
193,Bredasdorp,ZA,-34.53,20.04,60.8,82,0,4.7,clear sky
194,Hithadhoo,MV,-0.6,73.08,82.83,73,100,8.01,overcast clouds
195,Adrar,MR,20.5,-10.07,95.92,25,71,1.52,broken clouds
196,Peschanokopskoye,RU,46.2,41.08,61.79,37,0,14.99,clear sky
197,Los Llanos De Aridane,ES,28.66,-17.92,71.6,83,75,8.05,broken clouds
198,Margate,GB,51.38,1.39,60.01,79,82,3.0,broken clouds
199,Nabire,ID,-3.37,135.48,76.86,88,100,4.65,moderate rain
200,Souillac,MU,-20.52,57.52,71.6,88,20,3.36,few clouds
201,Tabou,CI,4.42,-7.35,78.33,83,88,8.88,overcast clouds
202,Haines Junction,CA,60.75,-137.51,40.42,74,100,3.91,overcast clouds
203,Arak,IR,34.09,49.69,53.11,65,63,3.27,broken clouds
204,Raudeberg,NO,61.99,5.14,53.01,69,69,5.95,broken clouds
205,Yuryev-Polskiy,RU,56.5,39.68,56.12,54,99,11.9,overcast clouds
206,Ishigaki,JP,24.34,124.16,78.73,72,56,23.26,broken clouds
207,Saskylakh,RU,71.92,114.08,23.11,97,96,13.24,overcast clouds
208,Kholm,RU,59.27,32.85,52.11,85,100,6.64,overcast clouds
209,Methana,GR,37.58,23.39,79.0,80,96,3.69,overcast clouds
210,Hashtrud,IR,37.48,47.05,48.6,69,69,7.99,broken clouds
211,Narsaq,GL,60.92,-46.05,32.0,79,20,4.7,few clouds
